_id
1993-05-03
World Tailed
Purity & Икар
Demetra & DuSoLeil
LeDi-MaHo Team (MantisFL & Holydarkness & Raikiri)
Japanese - 153
STOP-KRAN
Dreamers Team (Dea†ђKneLL & Looriental & mt.andi & Raney)
AniLibria (Derenn & Anzen & Kanade Eu)
GitS & n_o_i_r
Aska & Dancel & NesTea
AniRaccoon (GimerHade & Moaner & Varyuta)
Asura Project (Ani & AriChan & DariaMstitel' & Malevich & NexuS & Psychosocial76 & Renushka & Sunniva Nort)
AniLibria (Anzen & Hekomi & Cleo-chan & Amikiri & Nuts & Kari & Aemi & Rexus)
AUDIO_JP
Nesitach & Stan
AniUA (Hennessy & Атер Катта)
AniDUB (BalFor & Cuba77 & Demetra & Esther & Влад Дуров & Торгиль)
Eri-kun
ISO Media file produced by Google Inc. Created on: 08/02/2018.
52
Annie & i7Stolc & Lasik
Мистас @ FreeDub
1997-01-17
SP05
XDub (Izanami & Watanabe & Romashka & Dark_zarich & Anzen)
130215
SоvetRomantica (Sakura & Rudoshka & Lyutsifiel & Tina & Krondir)
AniPlay (BlackCat & Orange & Aira_Sever)
FortunaTV [Waka: Без цензуры]
3df_voice (Александр Аносов & Алексей Усиков & Альбина Штанина & Анастасия Чукунова & Антон Малафеев & Глеб Янышев & Дарья Колетвинова & Евгений Бородаенко & Евгения Андрианова & Мария Лебедева & Мария Яковлева & Ольга Кужельная & Павел Тимонин)
Nagi & Nika_Elrik & SeshaRim
AniLibria (Lupin & Metacarmex & Nuriko)
AniLibria (Sharon & Silv & Anzen & Amikiri)
ISO Media file produced by Google Inc. Created on: 02/26/2020.
Timecraft (Buka63 & Nachtwandler)
Nurarihyon no Mago 04
Enma & SeeR & StormHeart & WarHammer
[AnimePlaza
Englisch AC3 5.1
AniPlague (Chirick & VereneyR & Yu)
PCC-Studio
Dragon & Hollow & TM aka ТехноМаг
Advantage (Mi-ki & sild & Матадор)
AniRus (Arno)
Donate
англ.саб.
aXtr25 & Seiya
ArtVoiceStudio (Hikuro & Алексей Остапенко & Артём Яшин & Дмитрий Шугаев & Евгений Синельников & Екатерина Дмитрова & Елена Жесткова & Станислав Черсков)
AOS Team & sibion & Yoite
SovetRomantica (Baxrayder & Indominus Rex & Megera & Sabel)
AniLibria (Ados & Amikiri & Dejz)
Ghost Of Shadow & RONIN427
MiraiDuB (Brigella & datfeel & Eliza & Enjelend & Greyz & Indominus Rex & Metta & Mirazell & Panda_Ksyao & Plushka & RedVoise & Vulpis & Yuko & ~Maria Van Gerad~)
AniDUB (Zack_Fair) (8-9)
03_of_13
Adult Swim
Ada Higa & Сибирский кот
АМЬЕР
SHIZA Project (roll311 & Лизавета)
cc12855a
AniPlay (ShiYoru)
audio-ENG-2.0.ENG-5.1
Akari GROUP & SovetRomanticа (AlexeyONLY & SteycheR & Megera & Royz)
Shift & Tentenkunchan
Anime Heaven & VK & Аниме Рай
Get Smart Group (Persona99) (101-105)
WiaDub (Linokk & Rezan)
SHIZA Project (GreyMoon & Kano & NesTea)
Ria team
nao-R
Farankovsky
Mew
AniMedia (Sahawk & Freya)
3 ova
Fatotaku & GMC & Jarly & Mika
Natsume Yuujinchou Go
Cuba77 & NikaLenina
Amanri
AniLibria (Sharon & HectoR & Amikiri & Aemi)
Underground Voicе
Alvakarp & Azunyargh
JWA Project (Chokoba & Joyni & Kiana & KrisLaKras & Rapunzel-chan & Rina)
Amazing Dubbing (Lyric & Rina Grey & Twintll & Синка)
Baroque Works (Kos-Chan & Red Priest Rezo & Отец Борис & Likro & Kumys)
AniLibria (Allestra & JeFerSon & Симбад & Deer & Phobia & Nuriko)
SovetRomanticа (Sakura & Rudoshka)
BR-RAWS
Sovereign & DarkScorpio
AniPlay Studio в 2017 году
SоvetRomantica (Часть 2)
Ani-Panic & Elias
JapaneSe 2.0 FLAC
AniMedia (Nazel & Ruby)
anidub (Berial & Azazel & Lonty & Oriko
Chidry & Xome4OK
AniLibria (Lasik & Sharon & Silv)
Japanese Commentary & Kaori Nazuka  and Keiji Fujiwara
AniLibria (Sedrix & Lupin & HectoR & Reni & Say & Silv)
GodheadSubs
Hollow & RG Kujian & Ryou-kai
Izakaya & Nippa & onami
YakuSub Studio (Harushechka & Helye & Nika_Elrik)
eng subs
AraSol-тайминг & [HV] A.Myou и Ulyanich- озвучка
MAXX
Stan WarHammer & Nesitach & tina
ISO Media file produced by Google Inc. Created on: 04/16/2019.
HaronMedia (JumpingLama & Linad & Melani & Nickelka)
Japanese Vorbis 2.0 & KRT
1997-04-25
Inverti
J-Studio (ALEKS KV & CrazyKeeper & Gazer & Kenpachi & kir4ik88 & PeTRo)
OpenDub (Amu_chan & Fukuro & Korbut & Lite & Rendels)
roma_grin
midory-chan & Sleeper
AniMaunt (abcEND & Euler & Gin & Lelik_time & Nata Kex & Простой)
Ko & SeM
AniDUB (Jade & Mirona & RiZZ_fisher)
jap
0c455e1b
Amarillis & drauglin & Enflout & Inhesion & Looriental & Ryuji
JWA Project (Литария Теннер & Mr. KroK & Kanade Eu & Лёша hAl & Zer0)
SоvetRomantica (Sakura)
GoGoAnime
Leon-Sub
BakaNeko & Bakuza & Hollow & Lionne & Lynx-Eyed & Oriona
sanyalitvyak & Seiya Loveless & Zelretch
Sound Group
BD | qAAC 2.0
2 season (R)
D-Anime
AniMaunt (Простой & Nari)
Kyuri & Manaoki & Mika
ARi
FreeDub (Saesh-kun & Ksyao)
AniLibria (Lupin & Cleo-chan & Hekomi
GMC & Nati & Stranik912 & St_Ranger
S01
Letty & Metacarmex
BlackStone Studio (Ariom & Erinant & Fe_arny & Kashi)
2F3359AF
AniStar (Exevan & Mutsuko Air & Marie Bibika)
Japanese Audio 2.ch
heiter & ГоСт
AniMaunt (leoneo & Vielis & Euler)
Kitsune & Stan WarHammer & Winter
R.G. Seishin-ryoku
AnimeMovie (Brigella & Lotta & Wizzar63)
AnimeSpace (DAKJE & Letty)
AniRise (vonRosenberg & NikaAnimal)
RZ
Risens Team (Arihara & Saharok)
Hollow & RG Genshiken & WHS & Вилли
Nimring & snip
AniLibria (Eladiel & Ray)
Episode 34
Akashi (Kurohibi & Evafan & Surokune)
Tytania TV; ep. 03; Audio: JP
-2R- & Klum
AniMaunt (Euler & Lelik_time & leoneo & Nokinal & VieliS & Рейви)
FireDub (Ket & MrSolomon & KIMWO & Karipso)
Sudzin
Часть 10
Amikiri & AniLibria (Sharon & Silv
Aopy & Elk & LoneCoder & Miko & Nippa & Q Beast & Tatsuya
Forlorn
Amazing Dubbing (Calypso & Guinness & Mariela & Yu_ki)
DTS 2.0
galaktion
Abe & Dancel & nDrOiDze & Лизавета
COR
LEXX$Y
Nyaruko & Shiro-kun
redbull & CowboyFunk
Nostalgic
Glants
JWA Project (Hewstone & Rapunzel-chan & Лёша hAl)
AniMedia (Freya & Fuurou & Kobayashi)
Jart team (Akemi-san & Hanikat & KOSTER)
